author	ideas	hits	hitRate	fieldRate	z	months	symbols	trades	pnlTotal	pnlPerTrade	score	hitRate_petr_point	pnlPerTrade_petr_point
TraderEngineering	33	26	0.7879	0.6737	1.398	4	4	84	215.40	2.5642	2.2915	0.9394	0.9105
tomas_jntx	82	59	0.7195	0.6452	1.407	8	5	140	262.27	1.8734	1.7485	0.8049	-0.3875
Mrbigman	41	29	0.7073	0.5760	1.701	10	3	94	164.71	1.7522	1.5837	0.7561	0.0448
drcrypto14	67	53	0.7910	0.6374	2.617	8	3	100	168.31	1.6831	1.5301	0.9104	0.1808
JupahduhX	35	28	0.8000	0.5216	3.297	7	2	38	70.31	1.8503	1.4648	0.9714	0.4116
KennyYenKen	11	7	0.6364	0.3466	2.019	2	1	6	22.81	3.8014	1.4255	1.0000	0.8106
MarketStrategysignals	45	23	0.5111	0.4821	0.390	4	3	50	80.91	1.6181	1.3484	0.8667	0.4067
Dynamic_Trade_Strategies	18	13	0.7222	0.5099	1.802	5	3	62	83.87	1.3528	1.1649	0.8333	-0.3810
Avramis	19	15	0.7895	0.6988	0.861	9	5	118	140.41	1.1899	1.0969	0.8421	-0.5991
HKCM_Global	27	12	0.4444	0.4777	-0.346	8	3	88	99.86	1.1348	1.0190	0.8519	-0.7018
JacksonJoel	70	39	0.5571	0.5781	-0.355	10	3	112	106.01	0.9465	0.8689	0.8429	0.0096
FXCM	37	20	0.5405	0.5519	-0.139	5	2	48	42.48	0.8850	0.7324	0.7027	-1.4502
Mehdi_Abbasi_EWP	77	45	0.5844	0.5474	0.653	14	4	148	99.04	0.6692	0.6268	0.8701	-0.3001
CryptoSkullSignal	194	130	0.6701	0.5475	3.431	21	7	288	178.50	0.6198	0.5990	0.8711	0.0183
BallaJi	52	34	0.6538	0.6339	0.299	20	4	192	90.63	0.4721	0.4487	0.8077	-0.0625
AlmaClub	16	12	0.7500	0.6800	0.600	5	3	48	24.14	0.5030	0.4162	0.8125	-1.0086
CobraVanguard	358	231	0.6453	0.6310	0.560	19	5	462	194.10	0.4201	0.4112	0.8464	-0.3524
The-Thief	47	28	0.5957	0.5700	0.356	7	5	110	39.33	0.3576	0.3278	0.7872	0.0589
PremiumTrader57	75	45	0.6000	0.5433	0.986	7	2	52	19.12	0.3677	0.3084	0.8400	-0.1466
ManiMarkets	45	26	0.5778	0.5464	0.423	4	3	72	21.90	0.3042	0.2671	0.8444	0.4587
DEXWireNews	71	47	0.6620	0.6592	0.050	10	5	148	39.65	0.2679	0.2510	0.8873	-0.0228
SignalProvider	62	27	0.4355	0.5289	-1.473	10	2	76	20.53	0.2701	0.2387	0.6290	-1.3953
jhonnybrah	201	130	0.6468	0.6535	-0.202	41	5	394	82.72	0.2099	0.2047	0.8109	-0.1330
bryandowningqln	215	119	0.5535	0.5710	-0.520	23	4	280	52.43	0.1872	0.1808	0.8279	0.0492
EliteTradingSignals	58	33	0.5690	0.5239	0.687	10	2	80	15.29	0.1911	0.1699	0.7759	-0.4300
BulletproofTraders	48	34	0.7083	0.6340	1.069	9	4	114	17.12	0.1502	0.1381	0.9167	0.2868
InvestingScope	125	81	0.6480	0.5953	1.200	18	3	178	23.81	0.1337	0.1266	0.8640	-0.0636
mrsignalll	326	186	0.5706	0.5563	0.517	41	5	430	13.88	0.0323	0.0315	0.7730	-0.4089
brokerchampionofficial	23	13	0.5652	0.6159	-0.500	2	3	30	0.85	0.0285	0.0213	0.6957	-1.0446
Tradu	111	64	0.5766	0.5741	0.053	8	4	134	0.93	0.0070	0.0065	0.8108	-0.2777
EtherNasyonaL	242	148	0.6116	0.5906	0.662	12	3	182	-8.15	-0.0448	-0.0425	0.8471	-0.0533
TradingShot	144	72	0.5000	0.5265	-0.637	16	3	164	-16.30	-0.0994	-0.0937	0.7917	-0.2899
Rowland-Australia	23	10	0.4348	0.5490	-1.101	8	2	68	-7.70	-0.1132	-0.0987	0.6957	-0.7500
davidjulien369	283	192	0.6784	0.6498	1.010	22	6	318	-33.86	-0.1065	-0.1032	0.8021	-0.3551
isahebdadi	21	12	0.5714	0.5810	-0.089	6	2	62	-8.19	-0.1320	-0.1137	0.8571	0.4803
Sporia	104	56	0.5385	0.5699	-0.649	26	1	170	-21.59	-0.1270	-0.1200	0.8077	-0.2404
MasterAnanda	280	167	0.5964	0.5801	0.554	6	10	236	-33.67	-0.1427	-0.1369	0.7929	-0.4331
EbonyFalcon	35	24	0.6857	0.6264	0.725	9	4	64	-12.89	-0.2013	-0.1741	0.8571	-0.0742
PRIMEALPHA-FX	17	10	0.5882	0.5563	0.265	3	3	30	-11.54	-0.3846	-0.2885	0.7647	-0.9017
FrankAgbo	221	140	0.6335	0.6281	0.166	18	5	294	-95.31	-0.3242	-0.3135	0.8009	-0.4485
Xau_Insightss	10	3	0.3000	0.4508	-0.958	3	2	12	-7.08	-0.5903	-0.3220	0.9000	0.2836
ProfittoPath	62	42	0.6774	0.6057	1.156	8	4	80	-30.72	-0.3840	-0.3413	0.8710	-0.1386
ThinkFastTrades	144	85	0.5903	0.5686	0.524	37	2	268	-104.55	-0.3901	-0.3761	0.8403	-0.3855
coinpediamarkets	156	92	0.5897	0.6262	-0.940	20	11	354	-148.05	-0.4182	-0.4067	0.8141	-0.4935
TheCryptagon	77	47	0.6104	0.5971	0.238	17	3	164	-81.99	-0.5000	-0.4712	0.7792	-0.3305
TheTraderPhil	135	81	0.6000	0.5309	1.609	30	4	306	-159.12	-0.5200	-0.5035	0.8000	-0.3914
Swoop6	147	95	0.6463	0.5857	1.491	27	4	324	-168.63	-0.5205	-0.5049	0.8435	-0.3110
elalemiami	64	35	0.5469	0.6010	-0.884	15	2	90	-61.22	-0.6802	-0.6122	0.7812	-0.6604
Apex_Legends	103	57	0.5534	0.5560	-0.053	13	3	158	-113.45	-0.7181	-0.6753	0.7670	-0.7220
Phillipklh	18	12	0.6667	0.5944	0.625	4	3	38	-33.10	-0.8710	-0.6896	0.8333	-0.5570
Solldy	392	207	0.5281	0.5581	-1.200	11	8	446	-325.51	-0.7298	-0.7138	0.8061	-0.5956
ProjectSyndicate	114	64	0.5614	0.5495	0.256	24	5	234	-182.88	-0.7815	-0.7495	0.7982	-0.2758
moesalama	21	10	0.4762	0.4899	-0.126	7	2	50	-46.97	-0.9393	-0.7828	0.7619	-0.5171
BitCoinGuide	657	354	0.5388	0.5534	-0.753	60	1	472	-391.52	-0.8295	-0.8123	0.7717	-0.6175
Forexvisit_Trading	11	6	0.5455	0.4648	0.536	2	1	10	-18.01	-1.8010	-0.9005	0.8182	-0.8970
XTrendSpeed	79	44	0.5570	0.5963	-0.712	24	2	186	-178.06	-0.9573	-0.9084	0.7975	-0.8810
