rank	author	ideas_12m	hits_12m	hitRate	trades	pnl_window	pnl_per_trade	symbols
1	JupahduhX	35	28	0.8000	36	90.89	2.5247	2
2	Rowland-Australia	12	7	0.5833	26	51.41	1.9774	2
3	KennyYenKen	11	7	0.6364	6	22.81	3.8014	1
4	TheCryptagon	13	7	0.5385	20	41.00	2.0500	3
5	MarketStrategysignals	45	23	0.5111	50	80.91	1.6181	3
6	tomas_jntx	63	43	0.6825	106	155.82	1.4700	5
7	Dynamic_Trade_Strategies	18	13	0.7222	62	83.87	1.3528	3
8	TheTraderPhil	35	23	0.6571	80	94.79	1.1848	4
9	CryptoSkullSignal	112	78	0.6964	164	133.45	0.8137	7
10	FXCM	37	20	0.5405	48	42.48	0.8850	2
11	Mrbigman	10	3	0.3000	32	21.13	0.6604	3
12	The-Thief	36	22	0.6111	76	38.93	0.5122	5
13	Mehdi_Abbasi_EWP	22	11	0.5000	22	10.24	0.4656	4
14	PremiumTrader57	75	45	0.6000	52	19.12	0.3677	2
15	ManiMarkets	45	26	0.5778	64	22.51	0.3517	3
16	SignalProvider	62	27	0.4355	76	20.53	0.2701	2
17	mrsignalll	59	38	0.6441	92	22.31	0.2425	5
18	EliteTradingSignals	58	33	0.5690	80	15.29	0.1911	2
19	brokerchampionofficial	23	13	0.5652	30	0.85	0.0285	3
20	isahebdadi	21	12	0.5714	62	-8.19	-0.1320	2
21	MasterAnanda	280	167	0.5964	236	-33.67	-0.1427	10
22	TradingShot	128	67	0.5234	136	-23.66	-0.1740	3
23	moesalama	12	6	0.5000	24	-6.26	-0.2606	2
24	PRIMEALPHA-FX	17	10	0.5882	30	-11.54	-0.3846	3
25	Xau_Insightss	10	3	0.3000	12	-7.08	-0.5903	2
26	JacksonJoel	35	18	0.5143	54	-36.18	-0.6700	3
27	InvestingScope	23	15	0.6522	28	-22.42	-0.8006	3
28	CobraVanguard	126	77	0.6111	174	-108.57	-0.6239	5
29	melikatrader94	72	40	0.5556	138	-88.11	-0.6385	5
30	FrankAgbo	77	48	0.6234	114	-78.54	-0.6890	5
31	Tradu	89	50	0.5618	106	-77.13	-0.7277	4
32	EtherNasyonaL	120	71	0.5917	96	-71.94	-0.7494	3
33	Phillipklh	18	12	0.6667	38	-33.10	-0.8710	3
34	XTrendSpeed	25	14	0.5600	64	-55.66	-0.8698	2
35	jhonnybrah	17	8	0.4706	50	-51.89	-1.0379	5
36	BitCoinGuide	64	25	0.3906	52	-54.03	-1.0391	1
37	Forexvisit_Trading	11	6	0.5455	10	-18.01	-1.8010	1
38	Apex_Legends	95	53	0.5579	148	-143.31	-0.9683	3
39	VasilyTrader	16	6	0.3750	46	-58.84	-1.2792	1
40	coinpediamarkets	67	33	0.4925	160	-186.29	-1.1643	11
41	davidjulien369	55	31	0.5636	94	-118.60	-1.2617	6
42	Lunadigital	37	16	0.4324	34	-52.56	-1.5459	2
43	XAUxBTC_Pro	58	35	0.6034	80	-109.11	-1.3639	3
44	Jasmine-Flower	24	6	0.2500	46	-70.48	-1.5322	3
45	CandleKing09	10	3	0.3000	8	-23.42	-2.9281	1
46	UnknownUnicorn80395056	10	4	0.4000	4	-18.33	-4.5815	1
47	salahuddin20041	126	62	0.4921	182	-253.18	-1.3911	5
48	ThinkFastTrades	13	7	0.5385	28	-55.37	-1.9776	2
49	Alpha_Trade_Scope	51	30	0.5882	74	-128.17	-1.7320	2
50	Swoop6	17	9	0.5294	40	-78.98	-1.9744	4
51	FxPro	52	33	0.6346	128	-240.65	-1.8801	5
52	ICmarkets	75	38	0.5067	72	-149.19	-2.0721	2
53	ChartWithMG	36	17	0.4722	44	-102.74	-2.3349	2
54	thetradinglord28	46	26	0.5652	84	-188.37	-2.2425	3
55	ExpertTraderASK	90	36	0.4000	78	-178.37	-2.2868	3
56	Cryptollica	55	23	0.4182	76	-176.77	-2.3260	4
57	DEXWireNews	10	5	0.5000	30	-87.10	-2.9035	5
58	KCFX-NGN	11	5	0.4545	14	-54.23	-3.8736	1
59	alejandroscotti	75	45	0.6000	94	-237.10	-2.5223	3
60	Trade_Hive_Signals	36	15	0.4167	54	-151.17	-2.7994	4
61	EbonyFalcon	15	9	0.6000	24	-97.19	-4.0496	4
