hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
17280	4	8	3	48	23	373	-58.68	-0.1573	-0.4153	0.2579	4	5
17280	4	8	4	51	23	337	88.84	0.2636	-0.3972	0.6608	5	5
17280	4	8	5	51	26	377	11.53	0.0306	-0.4410	0.4715	4	5
17280	4	8	6	51	26	370	-6.67	-0.0180	-0.4411	0.4231	4	5
17280	4	8	7	51	26	370	-13.36	-0.0361	-0.4453	0.4091	4	5
17280	4	8	8	51	26	373	-37.35	-0.1001	-0.4478	0.3477	3	5
17280	4	8.5	3	51	24	393	-163.82	-0.4168	-0.4635	0.0467	3	5
17280	4	8.5	4	50	20	347	15.45	0.0445	-0.3982	0.4428	5	5
17280	4	8.5	5	51	26	365	-62.54	-0.1713	-0.4299	0.2586	4	5
17280	4	8.5	6	51	25	339	-112.91	-0.3331	-0.4320	0.0990	4	5
17280	4	8.5	7	51	25	341	-110.88	-0.3252	-0.4342	0.1090	4	5
17280	4	8.5	8	51	25	342	-111.93	-0.3273	-0.4406	0.1133	4	5
17280	4	9	3	51	26	379	-159.93	-0.4220	-0.4920	0.0700	3	5
17280	4	9	4	50	25	360	9.16	0.0254	-0.3488	0.3743	4	5
17280	4	9	5	50	26	346	-37.31	-0.1078	-0.3458	0.2380	4	5
17280	4	9	6	50	27	347	-20.97	-0.0604	-0.3475	0.2871	4	5
17280	4	9	7	50	27	340	-9.75	-0.0287	-0.3479	0.3193	4	5
17280	4	9	8	50	27	343	-19.44	-0.0567	-0.3542	0.2975	4	5
17280	4	9.5	3	51	29	415	-54.18	-0.1305	-0.4368	0.3062	4	5
17280	4	9.5	4	51	29	390	62.50	0.1602	-0.3690	0.5292	4	5
17280	4	9.5	5	51	29	405	77.03	0.1902	-0.3782	0.5684	4	5
17280	4	9.5	6	51	28	389	81.62	0.2098	-0.3750	0.5848	4	5
17280	4	9.5	7	51	29	401	73.14	0.1824	-0.3823	0.5647	4	5
17280	4	9.5	8	51	29	410	71.18	0.1736	-0.3928	0.5664	4	5
17280	4	10	3	51	25	407	-162.91	-0.4003	-0.4553	0.0550	3	5
17280	4	10	4	51	29	370	55.68	0.1505	-0.3945	0.5450	4	5
17280	4	10	5	51	27	372	1.76	0.0047	-0.3831	0.3879	3	5
17280	4	10	6	51	27	372	16.40	0.0441	-0.3868	0.4309	3	5
17280	4	10	7	51	26	376	-18.19	-0.0484	-0.4024	0.3540	3	5
17280	4	10	8	51	26	366	-27.46	-0.0750	-0.4038	0.3288	3	5
17280	5	8	3	51	22	348	-29.51	-0.0848	-0.4535	0.3687	3	5
17280	5	8	4	49	25	341	22.09	0.0648	-0.3078	0.3726	4	5
17280	5	8	5	54	27	376	-10.50	-0.0279	-0.2330	0.2051	4	5
17280	5	8	6	54	28	388	-58.37	-0.1504	-0.2546	0.1042	3	5
17280	5	8	7	54	27	395	-69.33	-0.1755	-0.2675	0.0920	3	5
17280	5	8	8	54	27	394	-45.91	-0.1165	-0.2501	0.1336	3	5
17280	5	8.5	3	51	25	323	-30.70	-0.0950	-0.4748	0.3798	3	5
17280	5	8.5	4	51	27	341	-33.90	-0.0994	-0.2656	0.1661	4	5
17280	5	8.5	5	53	27	386	-47.01	-0.1218	-0.2216	0.0998	4	5
17280	5	8.5	6	54	28	374	-56.14	-0.1501	-0.2282	0.0781	4	5
17280	5	8.5	7	54	29	374	-59.33	-0.1586	-0.2339	0.0752	4	5
17280	5	8.5	8	54	29	374	-38.10	-0.1019	-0.2168	0.1149	4	5
17280	5	9	3	53	30	334	-2.50	-0.0075	-0.4613	0.4538	3	5
17280	5	9	4	53	32	333	22.02	0.0661	-0.3118	0.3780	5	5
17280	5	9	5	53	28	402	152.56	0.3795	-0.2512	0.6307	5	5
17280	5	9	6	53	28	377	78.98	0.2095	-0.2958	0.5053	5	5
17280	5	9	7	53	28	377	76.26	0.2023	-0.3014	0.5037	5	5
17280	5	9	8	53	27	384	21.25	0.0553	-0.2821	0.3375	4	5
17280	5	9.5	3	53	30	389	-21.06	-0.0541	-0.4510	0.3969	4	5
17280	5	9.5	4	52	30	368	113.81	0.3093	-0.3800	0.6892	4	5
17280	5	9.5	5	54	29	421	166.67	0.3959	-0.2537	0.6496	5	5
17280	5	9.5	6	54	30	394	155.54	0.3948	-0.2439	0.6387	5	5
17280	5	9.5	7	54	28	395	76.22	0.1930	-0.2654	0.4583	4	5
17280	5	9.5	8	54	28	393	89.33	0.2273	-0.2306	0.4579	5	5
17280	5	10	3	52	30	398	-94.43	-0.2373	-0.4371	0.1999	4	5
17280	5	10	4	53	29	369	45.95	0.1245	-0.4103	0.5349	4	5
17280	5	10	5	51	28	409	94.39	0.2308	-0.2999	0.5307	5	5
17280	5	10	6	52	28	379	84.80	0.2238	-0.3549	0.5786	4	5
17280	5	10	7	53	27	404	103.12	0.2552	-0.3141	0.5694	4	5
17280	5	10	8	52	26	379	104.36	0.2754	-0.3139	0.5892	4	5
17280	6	8	3	48	21	382	12.20	0.0319	-0.4220	0.4540	3	5
17280	6	8	4	49	24	355	36.48	0.1028	-0.2585	0.3612	5	5
17280	6	8	5	52	31	406	45.94	0.1132	-0.2336	0.3467	3	5
17280	6	8	6	52	30	404	-34.61	-0.0857	-0.2923	0.2066	3	5
17280	6	8	7	52	28	399	-64.77	-0.1623	-0.2742	0.1119	3	5
17280	6	8	8	52	27	388	-117.17	-0.3020	-0.2528	-0.0492	3	5
17280	6	8.5	3	51	26	364	-12.00	-0.0330	-0.4991	0.4662	3	5
17280	6	8.5	4	52	28	359	18.27	0.0509	-0.1870	0.2379	4	5
17280	6	8.5	5	49	28	395	21.88	0.0554	-0.2412	0.2966	3	5
17280	6	8.5	6	50	27	394	-93.72	-0.2379	-0.2546	0.0167	2	5
17280	6	8.5	7	52	27	405	-114.42	-0.2825	-0.3039	0.0214	3	5
17280	6	8.5	8	52	25	384	-82.27	-0.2142	-0.2878	0.0735	4	5
17280	6	9	3	51	29	385	-69.80	-0.1813	-0.4942	0.3129	3	5
17280	6	9	4	52	30	350	91.97	0.2628	-0.1652	0.4280	4	5
17280	6	9	5	50	28	382	73.10	0.1914	-0.2550	0.4464	3	5
17280	6	9	6	50	26	413	5.23	0.0127	-0.2495	0.2622	3	5
17280	6	9	7	51	25	394	49.99	0.1269	-0.2284	0.3552	3	5
17280	6	9	8	52	26	381	17.57	0.0461	-0.2088	0.2549	3	5
17280	6	9.5	3	51	29	384	36.02	0.0938	-0.4265	0.5203	4	5
17280	6	9.5	4	53	29	366	113.76	0.3108	-0.2541	0.5649	4	5
17280	6	9.5	5	51	29	360	197.59	0.5488	-0.2451	0.7939	5	5
17280	6	9.5	6	52	31	395	180.86	0.4579	-0.2741	0.7320	5	5
17280	6	9.5	7	51	27	381	123.28	0.3236	-0.3027	0.6263	4	5
17280	6	9.5	8	51	27	381	118.22	0.3103	-0.3066	0.6169	4	5
17280	6	10	3	50	24	386	-79.97	-0.2072	-0.3628	0.1556	3	5
17280	6	10	4	52	29	377	41.01	0.1088	-0.2704	0.3792	4	5
17280	6	10	5	51	27	372	128.41	0.3452	-0.2520	0.5972	5	5
17280	6	10	6	51	30	376	170.14	0.4525	-0.2344	0.6869	5	5
17280	6	10	7	51	28	371	103.25	0.2783	-0.2461	0.5244	5	5
