hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
17280	4	8	3	49	26	377	8.91	0.0236	-0.2161	0.2398	4	5
17280	4	8	4	51	26	332	81.93	0.2468	-0.1611	0.4079	4	5
17280	4	8	5	51	29	387	177.70	0.4592	-0.1478	0.6070	4	5
17280	4	8	6	51	28	361	114.38	0.3168	-0.1477	0.4645	4	5
17280	4	8	7	51	29	377	151.38	0.4015	-0.1529	0.5544	4	5
17280	4	8	8	51	29	387	143.46	0.3707	-0.1530	0.5237	4	5
17280	4	8.5	3	49	24	378	-30.23	-0.0800	-0.2217	0.1417	3	5
17280	4	8.5	4	50	25	345	2.35	0.0068	-0.1797	0.1865	4	5
17280	4	8.5	5	50	27	354	49.70	0.1404	-0.1651	0.3055	3	5
17280	4	8.5	6	50	26	342	-6.78	-0.0198	-0.1683	0.1484	3	5
17280	4	8.5	7	50	27	351	42.80	0.1219	-0.1729	0.2948	4	5
17280	4	8.5	8	51	28	365	26.47	0.0725	-0.1714	0.2439	4	5
17280	4	9	3	49	26	439	-28.97	-0.0660	-0.2133	0.1473	4	5
17280	4	9	4	50	31	387	68.21	0.1763	-0.1651	0.3413	4	5
17280	4	9	5	51	33	429	124.02	0.2891	-0.1569	0.4460	4	5
17280	4	9	6	51	33	401	64.33	0.1604	-0.1453	0.3057	4	5
17280	4	9	7	51	33	429	86.38	0.2014	-0.1584	0.3597	4	5
17280	4	9	8	51	32	412	54.84	0.1331	-0.1556	0.2887	4	5
17280	4	9.5	3	51	28	446	64.29	0.1441	-0.1893	0.3335	4	5
17280	4	9.5	4	51	32	400	140.78	0.3520	-0.1258	0.4778	4	5
17280	4	9.5	5	52	35	431	201.08	0.4665	-0.0969	0.5634	4	5
17280	4	9.5	6	52	35	411	142.61	0.3470	-0.0964	0.4434	4	5
17280	4	9.5	7	52	35	432	215.96	0.4999	-0.1038	0.6037	4	5
17280	4	9.5	8	52	36	423	185.50	0.4385	-0.1075	0.5461	4	5
17280	4	10	3	52	25	424	-62.53	-0.1475	-0.1886	0.0411	4	5
17280	4	10	4	51	32	374	136.32	0.3645	-0.1641	0.5286	4	5
17280	4	10	5	52	34	388	128.47	0.3311	-0.1241	0.4552	4	5
17280	4	10	6	52	33	398	110.53	0.2777	-0.1283	0.4060	4	5
17280	4	10	7	52	32	394	80.41	0.2041	-0.1378	0.3419	4	5
17280	4	10	8	52	33	385	66.18	0.1719	-0.1347	0.3066	4	5
17280	5	8	3	53	26	416	87.04	0.2092	-0.2374	0.4467	4	5
17280	5	8	4	53	33	355	88.92	0.2505	-0.0310	0.2815	4	5
17280	5	8	5	54	35	385	84.91	0.2206	-0.0295	0.2501	3	5
17280	5	8	6	55	33	393	1.32	0.0034	-0.0298	0.0331	3	5
17280	5	8	7	55	36	390	77.83	0.1996	-0.0365	0.2360	3	5
17280	5	8	8	55	34	399	5.54	0.0139	-0.0450	0.0589	3	5
17280	5	8.5	3	53	28	373	38.47	0.1031	-0.2394	0.3426	3	5
17280	5	8.5	4	51	31	351	-2.42	-0.0069	-0.0217	0.0148	3	5
17280	5	8.5	5	53	31	417	105.32	0.2526	-0.0168	0.2693	2	5
17280	5	8.5	6	54	31	405	15.53	0.0383	-0.0198	0.0581	2	5
17280	5	8.5	7	54	31	402	26.68	0.0664	-0.0257	0.0920	2	5
