hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
10080	0	6	3	50	21	418	-64.14	-0.1534	-0.3824	0.2290	3	5
10080	0	6	4	51	27	387	38.04	0.0983	-0.3184	0.4167	3	5
10080	0	6	5	54	27	456	-12.79	-0.0280	-0.2845	0.2565	3	5
10080	0	6	6	48	18	358	-3.27	-0.0091	-0.1226	0.1135	3	5
10080	0	6	7	48	22	410	-55.57	-0.1355	-0.2305	0.0949	3	5
10080	0	6	8	49	16	433	-260.64	-0.6019	-0.3912	-0.2107	2	5
10080	0	6	9	48	17	419	-276.67	-0.6603	-0.3699	-0.2905	1	5
10080	0	6	10	50	17	428	-273.14	-0.6382	-0.3959	-0.2422	3	5
10080	0	6	12	45	15	390	-320.51	-0.8218	-0.4480	-0.3739	1	5
10080	0	6	14	45	15	368	-340.36	-0.9249	-0.4353	-0.4896	1	5
10080	0	6	16	45	15	408	-454.90	-1.1149	-0.5632	-0.5517	1	5
10080	0	6	20	50	17	462	-382.92	-0.8288	-0.4917	-0.3372	1	5
10080	0	6	25	51	18	465	-377.51	-0.8118	-0.4572	-0.3546	1	5
10080	0	6	30	51	19	465	-393.94	-0.8472	-0.4521	-0.3950	1	5
10080	0	6	100	51	18	469	-419.89	-0.8953	-0.5337	-0.3616	1	5
10080	0	8	3	50	24	403	-48.43	-0.1202	-0.4943	0.3742	3	5
10080	0	8	4	54	30	425	209.97	0.4940	-0.3243	0.8183	5	5
10080	0	8	5	52	23	486	127.69	0.2627	-0.3065	0.5693	5	5
10080	0	8	6	51	20	381	31.09	0.0816	-0.3477	0.4293	4	5
10080	0	8	7	47	23	357	6.28	0.0176	-0.4504	0.4680	3	5
10080	0	8	8	49	20	371	-65.78	-0.1773	-0.4919	0.3146	4	5
10080	0	8	9	49	20	343	-93.57	-0.2728	-0.5689	0.2961	3	5
10080	0	8	10	49	18	316	-150.23	-0.4754	-0.4785	0.0031	3	5
10080	0	8	12	47	19	342	-135.61	-0.3965	-0.4946	0.0980	3	5
10080	0	8	14	48	19	359	-205.09	-0.5713	-0.5507	-0.0206	2	5
10080	0	8	16	47	18	347	-183.78	-0.5296	-0.5050	-0.0246	3	5
10080	0	8	20	50	19	411	-258.57	-0.6291	-0.5544	-0.0747	3	5
10080	0	8	25	50	19	393	-306.89	-0.7809	-0.5246	-0.2563	3	5
10080	0	8	30	50	19	392	-309.37	-0.7892	-0.5258	-0.2634	3	5
10080	0	8	100	50	18	407	-429.35	-1.0549	-0.5368	-0.5181	2	5
10080	0	10	3	49	27	424	-49.31	-0.1163	-0.5064	0.3901	4	5
10080	0	10	4	55	32	421	288.05	0.6842	-0.3170	1.0012	5	5
10080	0	10	5	54	26	457	179.52	0.3928	-0.2700	0.6628	5	5
10080	0	10	6	49	25	336	144.72	0.4307	-0.4209	0.8516	5	5
10080	0	10	7	50	25	379	-29.25	-0.0772	-0.4062	0.3290	4	5
10080	0	10	8	50	16	364	-185.68	-0.5101	-0.4778	-0.0323	4	5
10080	0	10	9	49	22	338	-40.72	-0.1205	-0.5454	0.4249	4	5
10080	0	10	10	50	19	330	-213.97	-0.6484	-0.5749	-0.0735	3	5
10080	0	10	12	50	17	357	-331.87	-0.9296	-0.5978	-0.3318	0	5
10080	0	10	14	50	21	350	-236.98	-0.6771	-0.6520	-0.0251	4	5
