  BTCUSDT: 5045, 18 с
  DOGEUSDT: 6281, 30 с
  ETHUSDT: 8490, 41 с
  MATICUSDT: 8589, 44 с
  NEARUSDT: 8670, 50 с
  PENGUUSDT: 8701, 52 с
  POLUSDT: 8722, 53 с
  PUMPUSDT: 8730, 54 с
  SOLUSDT: 9933, 64 с
  TRXUSDT: 10054, 70 с
  ZECUSDT: 10167, 75 с

идей 10,167; авторов с >= 20: 74; p_dir 200 розыгрышей, p_time 100

autor	n	months	pnl	p_dir	p_time	lift	t_bh	early%	back14	fwd14	years
AlienOvichO	26	9	+4.430	0.209	0.871	+1.902	+1.04	54	+8.83	+5.43	2025:+4.1(22)
AlmaClub	26	9	+1.888	1.000	0.950	+0.000	+0.00	69	+8.16	+0.63	2023:+3.8(12);2024:+0.9(12)
Alpha_Trade_Scope	52	8	-1.507	0.776	0.861	+1.328	+0.52	10	+1.50	-0.48	2026:-1.5(48)
Apex_Legends	110	14	-1.186	0.861	0.436	-0.421	-0.43	25	-0.64	-1.09	2025:-0.8(56);2026:-1.6(54)
Avramis	58	25	-0.273	0.577	0.416	-1.053	-0.42	100	+10.58	+1.44	2021:-2.3(11);2022:-0.3(28);2023:+0.4(18)
BallaJi	103	41	+1.644	0.040	0.772	+1.508	+1.09	78	+6.10	+1.02	2021:-5.1(7);2022:-1.4(23);2023:+0.9(30);2024:+8.4(24);2025:-0.1(16)
BitCoinGuide	637	61	+0.014	0.274	0.297	+0.084	+0.31	64	+0.84	-0.63	2021:+0.5(82);2022:-1.6(165);2023:+2.0(151);2024:+1.7(134);2025:-1.3(58);2026:-4.4(47)
BulletproofTraders	61	12	-0.989	0.741	0.505	-3.097	-1.17	74	-3.33	+2.34	2024:+0.2(49);2025:-6.0(12)
ChartWithMG	40	9	-0.320	0.338	0.634	+1.529	+0.88	15	+0.61	-1.06	2025:-4.3(6);2026:+0.4(34)
CobraVanguard	382	22	+1.512	0.050	0.139	+0.362	+1.56	41	+0.38	+0.55	2024:+8.1(82);2025:+0.0(265);2026:-2.4(35)
CrowdWisdomTrading	21	8	+1.347	0.567	0.218	-4.422	-0.54	52	+0.84	+1.66	2026:-2.7(18)
CryptoSkullSignal	221	26	+2.699	0.005	0.317	+1.674	+2.70	45	+1.57	+1.24	2024:+3.6(46);2025:+2.3(121);2026:+2.7(54)
Cryptollica	115	27	-2.394	1.000	0.921	+0.000	+0.00	46	-0.73	+0.29	2022:-18.0(13);2023:+5.0(24);2024:+4.1(11);2025:-3.4(7);2026:-3.2(59)
DEXWireNews	91	14	+8.997	0.667	0.040	-0.413	-1.04	57	+3.02	+2.33	2024:+22.6(40);2025:-1.5(48)
DHLawrence	110	38	+3.031	0.562	0.941	-1.364	-0.61	84	+7.82	-1.05	2021:+0.5(33);2022:-1.0(8);2023:+6.2(13);2024:+6.2(44);2025:-2.4(12)
Dynamic_Trade_Strategies	30	9	+3.782	0.005	0.010	+5.909	+2.10	30	+3.36	+2.74	2025:-1.0(5);2026:+4.7(25)
EbonyFalcon	42	11	-1.323	0.731	0.644	-0.562	-1.82	52	+0.41	-2.39	2025:+2.5(34);2026:-17.5(8)
EliteTradingSignals	59	10	+1.371	0.010	0.277	+1.749	+1.43	15	-2.59	+1.11	2025:-1.3(23);2026:+3.0(36)
EtherNasyonaL	251	13	-2.869	1.000	0.574	+0.000	+0.00	45	-1.68	-2.07	2024:-2.6(11);2025:-2.9(240)
ExpertTraderASK	95	10	-2.357	0.930	0.901	+0.785	+0.66	12	+2.22	-2.92	2025:-0.2(28);2026:-3.3(67)
FXCM	39	7	-1.745	0.706	0.822	+5.301	+2.07	15	+3.62	-2.15	2026:-1.7(39)
FrankAgbo	235	19	-1.722	0.910	0.277	-0.330	-0.33	45	-4.25	-1.14	2024:-5.5(34);2025:-1.7(155);2026:+1.0(46)
FxPro	98	16	+0.137	0.592	0.881	-2.131	-1.24	41	+1.88	-0.52	2025:+0.2(76);2026:+0.0(22)
HKCM_Global	53	24	+2.005	0.015	0.723	+3.070	+2.00	42	+0.39	+1.45	2023:+6.0(6);2024:-0.9(18);2025:+3.2(22);2026:+3.0(5)
ICmarkets	73	7	-0.449	0.667	0.663	+2.288	+1.20	5	+3.79	-1.34	2026:-0.4(73)
InvestingScope	148	20	+3.537	0.010	0.208	+1.136	+2.05	35	+0.80	+1.28	2024:+9.8(38);2025:+1.0(86);2026:+2.9(24)
JacksonJoel	79	11	+1.150	0.124	0.535	-0.147	-0.07	44	+2.70	+1.39	2025:+1.5(69);2026:-1.1(10)
Jasmine-Flower	31	4	-2.797	0.945	0.802	-2.770	-1.03	35	-6.36	-1.66	2026:-2.8(31)
